,text,like
0,銀行の本人確認強化金融庁、不正引き出し防止https://t.co/HnC1nzDXSh,0
1,国際化・女性活躍映す北欧ミステリーのキャラクターhttps://t.co/bt1YDL4ngq,0
2,ドコモの自転車シェアが快走年間利用1200万回にhttps://t.co/biPaIQBSjY,1
3,進む競馬ファンの「現場」離れ入場再開で明らかにhttps://t.co/UOwbJTDKiM,0
4,1年で辞めた丸紅回り道を糧に、再入社で古巣に貢献https://t.co/NLbo2nr9bc,0
5,新南北戦争は絵空事か大統領選後、米国に迫る危機https://t.co/fg54T57ope,0
6,パリ近郊、教員の首切断仏大統領「イスラム過激派テロ」https://t.co/sSGFFH2gpN,0
7,首相、靖国神社に供物奉納秋季例大祭https://t.co/p6eRNdF7jV,1
8,すき焼き・寿司…お取り寄せ駅弁、おうちで旅気分https://t.co/FkGH2ubJf8,0
9,変わる宅地のステータス、田園調布より「3A」https://t.co/ZCLD2RTohQ,0
10,公取委、地銀再編で金融庁に意見も利用者の観点で判断https://t.co/ZwvRTYP0UP,0
11,ソフトバンクが2030GBでドコモより3割安い5000円以下のプランを検討。アルバイト賞与や契約社員の退職金・手当・休暇で最高裁判断。残価設定の住宅ローンで返済負担軽減。この1週間、Twitterで読まれた日経記事です。https://t.co/zBl1EzvyJ9,0
12,「リーダーは部下を叱るのをやめよう」 哲学者・岸見一郎氏https://t.co/kZOiDZoRMp,0
13,現代人に絶滅人類の遺伝子ウイルス攻略へ敵か味方かhttps://t.co/Gina2SC0IF,0
14,マイナンバーカードと運転免許証の一体化を早くて2026年中に始める方針で、小此木八郎国家公安委員長と平井卓也デジタル改革相、河野太郎規制改革相が一致。反則金のキャッシュレス化なども議論しました。https://t.co/nATW6as5oD,1
15,「国の予算を投じる機関として国民に理解される存在であるべきだ」と菅義偉首相。「未来志向で今後のあり方を政府とともに考えていきたい」と日本学術会議の梶田隆章会長。会員候補の任命問題を受け会談しました。https://t.co/qkBjRhcTrp,0
16,「ユニクロ」を展開するファーストリテイリングの株価が上場来高値を更新。終値ベースの時価総額は7兆7889億円と任天堂を逆転し、日本7位に浮上しました。2021年8月期の連結純利益は過去最高になる見通しです。https://t.co/K6rE0GOx7E,1
17,新型コロナウイルス感染の有無などを呼気から判定できる技術を、島津製作所と東北大学が開発しました。微粒子「エアロゾル」を約5分で採取。患者のストレスが少なく、結果が出るまで約1時間で済みます。https://t.co/qDV1tj4VBp,1
18,ボーイング737MAX、欧州で運航再開へ当局「基準満たす」https://t.co/AgL2Gx4Yl9,0
19,NYダウ4日ぶり反発112ドル高、小売売上高の伸び好感https://t.co/RYIeqmPd1g,0
20,米コロナ感染、800万人に中西部で「第3波」警戒https://t.co/xJEwWCDZxY,0
21,米国でギター大売れ新型コロナ契機、余暇を習い事にhttps://t.co/C6KVaBPwDf,1
22,米財政赤字、20年度は過去最悪の330兆円前年の3倍強https://t.co/Pv1tDjVpyY,0
23,米軍駐留経費、増額余地乏しく日米実務者が協議入りhttps://t.co/n4Nw2GkIEr,0
24,筒美京平さん盟友プロデューサーが明かすヒット秘話https://t.co/g5d7wF3hFH,0
25,激辛トウガラシでピクルス、イベントが生む農地の価値https://t.co/Vxu6wslWMg,0
26,放置自転車、全国ワーストの名古屋駐輪場の整備急ぐhttps://t.co/rwsJykyO9X,0
27,中東の外交地図、再び一変も米大統領選の結果が左右https://t.co/25jMOUIZ8n,0
28,三菱150年目のデジタル革命再成長、オープン志向カギhttps://t.co/jpggQB18P3,0
29,東京ディズニー、もがく夢の国新エリアでも客数減https://t.co/F7WiAnL4Aj,0
30,日米小売りが最終黒字転換68月、2四半期ぶりhttps://t.co/DaGofqfI3B,0
31,長者番付逃れたゴーン元会長高額納税の開示回避かhttps://t.co/UrCMARANO5,0
32,「買い物弱者」ネットでも高齢者のトラブル相談急増https://t.co/uQNU8sX2Wq,0
33,公取委、携帯市場を再調査へ販売慣行や中古流通https://t.co/KbrDpHnkL6,0
34,東証、システム障害で報告書証券各社と協議会設置https://t.co/zk4QxagXia,0
35,NYダウ反発で始まる小売売上高を好感https://t.co/HsHVL1AwxI,0
36,英・EU、迫る時間切れ英首相「FTAなし準備を」https://t.co/L1tFqPwNTa,0
37,富士フイルム、アビガンの承認申請海外販売へ前進https://t.co/iitWRsDCqy,1
38,iPhone12、携帯3社の価格出そろうhttps://t.co/v1inNZUWhK,0
39,欧州最安EV投入ルノーCEO、中国勢の進出に警戒感https://t.co/11iI63CCw3,0
40,JR九州「36ぷらす3」、出発進行旅行喚起に期待https://t.co/j4RCgFoiVa,0
41,ファストリ、時価総額で任天堂逆転「DX」化に評価https://t.co/1tQbwNmMhB,1
42,コスパよく酸化しにくい紙箱入りワイン注目アイテムhttps://t.co/xCYp8qyo6R,0
43,レムデシビル、コロナ死亡率減に効果ほぼ無しWHOhttps://t.co/9TyVR7oSuT,1
44,福島第1廃炉へ迫る期限処理水海洋放出、月内決定へhttps://t.co/5aZTh2PRqH,0
45,KDDI社長、携帯値下げ「近く示す」https://t.co/5QVlhCcO3g,0
46,新型コロナウイルス治療薬「レムデシビル」を投与しても入院患者の死亡率や、人工呼吸器の使用率の改善にはほとんど効果なし。WHOの臨床試験（治験）結果をフィナンシャル・タイムズ（FT）が報じました。https://t.co/i15psAbWpq,1
47,7月豪雨の避難者数、自治体把握の5倍か熊本・球磨村https://t.co/dEnzTKlU59,0
48,神戸アイセンター、iPS視細胞を初移植https://t.co/y4aYzzc0bS,0
49,家庭や事業所でテレビを設置した際に届け出を義務化する制度改正を、NHKが総務省の有識者会議で要望。実現すれば受信契約の対象者を把握しやすくなり、公平な受信料負担を実現できると主張しました。https://t.co/XmyKaVHIX9,0
50,トランプ氏、コロナで防戦大統領選両候補が対話集会https://t.co/BSKBMbErdz,0
51,税・予算で中小再編促す成長戦略会議が初会合https://t.co/ds04tYUTge,0
52,AIアナが読むニュース夕方の4本https://t.co/rhNEjNiaYu,0
53,［社説］新型コロナが示した小売業の教訓https://t.co/XgDEHkkxyT,0
54,［社説］非正規の処遇改善を着実にhttps://t.co/1SOBNw1aS2,0
55,ハンコが必要な約1万5000種類の手続きで、各府省が押印を存続する方針なのは1%未満の111種類。河野太郎規制改革相が、民間からの申請など行政手続きで求める押印の99%を廃止できる見込みだと明らかにしました。https://t.co/M76HQgv73S,1
56,ドコモの「4兆円」どこへ再投資先、高配当株ふるいhttps://t.co/SZzfQVhYcj,0
57,今後5年間、グループ全体で年3000人規模が定年を迎えるNEC。新会社「NECライフキャリア」を通じ、ITエンジニアなど高度な専門知識を持つシニア人材の就業支援に乗り出します。#日経イブニングスクープhttps://t.co/nHdSZGmFyt,0
58,NEC、自社のシニア人材派遣で新会社大量定年対応https://t.co/MpoCGDO76c,1
59,首相、日本学術会議の梶田会長と会談「社会に貢献を」https://t.co/5wsjmOGnRm,0
60,住宅ローン減税、コロナで特例入居要件21年まで延長https://t.co/AWpOPDjhCU,0
61,物言う株主の要求、コロナでも活発今年は過去最多22件https://t.co/ev3p2ZDeA3,0
62,乗り入れている銀座線、丸ノ内線、日比谷線それぞれの改札口に、光る柱を計130本設置。改札内の天井には和光本館や三越銀座店など周辺施設の写真を示し、行き先の方向を分かりやすく。東京メトロが銀座駅をリニューアルしました。… https://t.co/b3Fxw9bIMt,1
63,タクシー、出前に活路 安心感や輸送量を利用者評価https://t.co/JlYykPmDa2,0
64,GoToトラベル予算を配分するための地域ごとの枠の適用を当面見合わせると赤羽一嘉国土交通相。また、割引制限をした旅行会社から商品を購入した人に対し、割引額との差額分を各社の独自ポイントで還元します。https://t.co/koizq9FMxW,0
65,東京都のコロナ感染、新たに184人https://t.co/6LgP9Xznbh,0
66,岸田氏、「大宏池会」に活路か次の総裁選が正念場https://t.co/ksuahb8dHS,0
67,米最高裁判事、大統領選前の承認へ前進政権・共和党https://t.co/X9IPhAWEPP,0
68,AIアナが読むニュース昼の4本https://t.co/pKZaZRfn2x,0
69,官房長官「海洋放出、先送りできず」福島第1処理水https://t.co/yZcwoPiT74,0
70,きょう10月16日昼の日経電子版トップ（https://t.co/Ar5oFbVngC）3本です。米大統領選、両候補が別々同時に対話集会https://t.co/9RDubHmgACコンビニ人手不足が一段落24時間… https://t.co/ExIczwBkaE,0
71,NHK、テレビ設置の届け出義務化を要望有識者会議https://t.co/mFu7geHa9j,1
72,富士フイルム、アビガン販売申請11月にも承認可能性https://t.co/DxmKShaNJ3,1
73,レムデシビル、コロナ死亡率に効果薄くWHO治験 https://t.co/i06sg48I7J,0
74,「卓越」研究者でも定職なし博士離れ加速https://t.co/NcrjUu8ycB,1
75,米大統領選、両候補が同時に対話集会討論会中止でhttps://t.co/HeTHr2WzSh,0
76,DX時代を生き抜く8つの人材像価値を高める働き方https://t.co/2m1xqNbPgw,0
77,コンビニから宇宙まで縦横「無人」アバターロボ続々https://t.co/eFbPc4BzAw,0
78,アメリカ大統領選挙なぜ最高裁判所判事が重要？https://t.co/K8N36Pc87v,0
79,縮む中国「一人っ子政策」が影2100年に5億人割れもhttps://t.co/hxpTDnKC39,0
80,コンビニ人手不足、コロナで一段落24時間店復活もhttps://t.co/yq8wdcW9WX,0
81,広告に仕掛けられるワナ。Internet Explorer（IE）とFlashのサポート終了間際を狙い急増する「駆け込み攻撃」の事例です。https://t.co/5TaR4tEKvC,0
82,富裕層向け不動産会社の破産劇ホテル工事で損失https://t.co/HvCojJ9wCa,0
83,ルノー、「欧州最安EV」21年投入実質120万円前後かhttps://t.co/j81AfNb5De,0
