,text,like,retweet,id,user,created_at
0,"銀行の本人確認強化　金融庁、不正引き出し防止
https://t.co/HnC1nzDXSh",59,33,1317303307690340352,nikkei,Sat Oct 17 03:15:57 +0000 2020
1,"国際化・女性活躍映す　北欧ミステリーのキャラクター
https://t.co/bt1YDL4ngq",29,13,1317287180490797056,nikkei,Sat Oct 17 02:11:52 +0000 2020
2,"ドコモの自転車シェアが快走　年間利用1200万回に
https://t.co/biPaIQBSjY",205,70,1317284698045902849,nikkei,Sat Oct 17 02:02:00 +0000 2020
3,"進む競馬ファンの「現場」離れ　入場再開で明らかに
https://t.co/UOwbJTDKiM",45,26,1317284697051779072,nikkei,Sat Oct 17 02:02:00 +0000 2020
4,"1年で辞めた丸紅　回り道を糧に、再入社で古巣に貢献
https://t.co/NLbo2nr9bc",48,5,1317284695994900480,nikkei,Sat Oct 17 02:02:00 +0000 2020
5,"新南北戦争は絵空事か　大統領選後、米国に迫る危機
https://t.co/fg54T57ope",24,8,1317284694765887488,nikkei,Sat Oct 17 02:01:59 +0000 2020
6,"パリ近郊、教員の首切断　仏大統領「イスラム過激派テロ」
https://t.co/sSGFFH2gpN",99,59,1317275859347099650,nikkei,Sat Oct 17 01:26:53 +0000 2020
7,"首相、靖国神社に供物奉納　秋季例大祭
https://t.co/p6eRNdF7jV",315,107,1317255981244375041,nikkei,Sat Oct 17 00:07:54 +0000 2020
8,"すき焼き・寿司…　お取り寄せ駅弁、おうちで旅気分
https://t.co/FkGH2ubJf8",74,30,1317255006475620352,nikkei,Sat Oct 17 00:04:01 +0000 2020
9,"変わる宅地のステータス、田園調布より「3A」
https://t.co/ZCLD2RTohQ",70,20,1317255005171195904,nikkei,Sat Oct 17 00:04:01 +0000 2020
10,"公取委、地銀再編で金融庁に意見も　利用者の観点で判断
https://t.co/ZwvRTYP0UP",38,17,1317249452990558208,nikkei,Fri Oct 16 23:41:57 +0000 2020
11,"ソフトバンクが2030GBでドコモより3割安い5000円以下のプランを検討。アルバイト賞与や契約社員の退職金・手当・休暇で最高裁判断。残価設定の住宅ローンで返済負担軽減。この1週間、Twitterで読まれた日経記事です。
https://t.co/zBl1EzvyJ9",72,27,1317247177681477632,nikkei,Fri Oct 16 23:32:55 +0000 2020
12,"「リーダーは部下を叱るのをやめよう」 哲学者・岸見一郎氏
https://t.co/kZOiDZoRMp",147,35,1317246922126577664,nikkei,Fri Oct 16 23:31:54 +0000 2020
13,"現代人に絶滅人類の遺伝子　ウイルス攻略へ敵か味方か
https://t.co/Gina2SC0IF",82,23,1317246920750895105,nikkei,Fri Oct 16 23:31:53 +0000 2020
