Unnamed: 0,text,like,retweet,id,user,created_at
5,"「我々は戦争はしない。だが弱さや譲歩は平和をもたらさない」「強い決意と防衛が、台湾の平和を守る」。蔡英文総統が中華民国の建国記念日「双十節」の式典で、圧力を強める中国を念頭に演説しました。
https://t.co/zMUJcMaL8u",727,197,1314924545455857664,nikkei,Sat Oct 10 13:43:36 +0000 2020
6,"旅行・外食、上向きの兆し　「GoTo」が消費後押し
https://t.co/6zfYmKWI9B",183,56,1314921846102355971,nikkei,Sat Oct 10 13:32:52 +0000 2020
18,"全日本空輸（ANA）がパイロットらを含む全従業員1万5000人の副業範囲を広げ、勤務時間以外に他社とも雇用契約を結べるようにする方針。業績悪化で一般社員の年収が3割減る見通しのなか、収入を得やすくします。
https://t.co/oM7VzxZLGH",187,70,1314898502074368000,nikkei,Sat Oct 10 12:00:07 +0000 2020
20,"みずほが週休３４日制　希望者、自分磨く時間に
https://t.co/07FkdCMoH0",269,96,1314894707475075073,nikkei,Sat Oct 10 11:45:02 +0000 2020
22,"ブラックホール解明へ　東芝が電波望遠鏡の干渉激減
https://t.co/RFuaRfgBJl",637,149,1314890965530935296,nikkei,Sat Oct 10 11:30:10 +0000 2020
24,"イデコ税負担、周知不足　退職金で控除枠使い切る恐れ
https://t.co/QQGKmG1Nxz",299,125,1314887179236237312,nikkei,Sat Oct 10 11:15:07 +0000 2020
26,"理研、紫外線でコロナ抑制　五輪で活用へ産学連携
https://t.co/9EvYBeBPup",200,84,1314880084591878145,nikkei,Sat Oct 10 10:46:56 +0000 2020
30,"ＪＡＬ、客室乗務員を全国に派遣　観光振興など兼務
https://t.co/auupP09Fck",481,143,1314875840262549505,nikkei,Sat Oct 10 10:30:04 +0000 2020
35,"金星の雲の中に「生命」の可能性　世界の科学者が検証
https://t.co/CjkzYj0L3p",972,301,1314832787686387713,nikkei,Sat Oct 10 07:38:59 +0000 2020
40,"元マック原田氏、ゴンチャで脱「タピオカ依存」
https://t.co/GmLqPB9bbz",187,55,1314788498419773440,nikkei,Sat Oct 10 04:43:00 +0000 2020
47,"ANA、副業を拡大へ　他社と雇用契約可能に
https://t.co/yxqcoWmfkG",754,271,1314737135459598336,nikkei,Sat Oct 10 01:18:54 +0000 2020
49,"戸建て、マンションともに対象とし、増築や防音対策、間仕切り設置を念頭。在宅勤務用の自宅リフォーム費用の3分の1を、100万円上限に補助する制度を国土交通省が検討します。（会員向け記事です。登録無料）
https://t.co/gNV7eLL5rK",372,168,1314725637152747520,nikkei,Sat Oct 10 00:33:12 +0000 2020
51,"JR東海が技術支援するアメリカ南部テキサス州ダラス―ヒューストン間の高速鉄道計画が、2021年にも着工の見通し。開業に向け総事業費2兆円規模の資金調達や用地確保を進めます。

JR支援の北米新幹線、21年着工へ　当局手続き終了… https://t.co/gkXZakZStS",379,174,1314720210398720001,nikkei,Sat Oct 10 00:11:39 +0000 2020
53,"三井不動産が旗艦物件「新宿三井ビルディング」をREITに1700億円で売却します。1974年に竣工した地上55階、地下3階建てビルで、新宿副都心再開発の象徴的な建物。国内REITの保有物件で最高の取得額になります。
https://t.co/sMI5l5MwlR",1563,726,1314702776274886656,nikkei,Fri Oct 09 23:02:22 +0000 2020
57,"インターネットバンキングを使っておらず2年以上取引なし、残高1万円未満の客から、三井住友銀行が年1100円の手数料を徴収。2021年4月以降に新たに口座を設ける人が対象です。
https://t.co/7Rwhjw8g29",279,194,1314686856391467008,nikkei,Fri Oct 09 21:59:06 +0000 2020
58,"「手数料負担はなるべく軽くするのが肝要だが、タダがいいとも言えない」「投資は生きがい、相場は友」。株式投資歴66年。84歳のデイトレーダー、藤本茂さんの投資論です。
https://t.co/MtXI8V4NUe",320,61,1314679655149064195,nikkei,Fri Oct 09 21:30:30 +0000 2020
61,"Twitter、「リツイート」を制限　米大統領選期間中
https://t.co/YFT2XkCr18",332,517,1314670696677601281,nikkei,Fri Oct 09 20:54:54 +0000 2020
76,"臭みも抜けて身が締まる　「塩ヅケ」刺し身のススメ
https://t.co/7jXiO5CBo7",739,208,1314556683885060097,nikkei,Fri Oct 09 13:21:51 +0000 2020
77,"結局1行しか進まなかったが、情報量は膨大。「雑談ばかりの授業になりますが、50分間のうちの5分間で、いちばん重要なことを伝えればいいんです」。奈良の進学校、東大寺学園の授業と校風を探ります。
https://t.co/0zbkisOFwk",265,76,1314549345107275776,nikkei,Fri Oct 09 12:52:41 +0000 2020
79,"目を閉じたままでモノが見える　フクロウ驚異の能力
https://t.co/Y0Z7ZNidXV",401,118,1314546147432624128,nikkei,Fri Oct 09 12:39:59 +0000 2020
82,"400万年前の象を再現　琵琶湖博物館が改装オープン
https://t.co/1vnUrJcLYG",731,199,1314540381799944192,nikkei,Fri Oct 09 12:17:04 +0000 2020
